Unnamed: 0,Cash & Cash Equivalents,Total Assets,Total Liabilities,Shareholders' Equity,Total Long-Term Liabilities,Total Current Liabilities,Long-Term Debt,Current Debt,Accion
2023-01-31,1250.0,10919.0,5310.0,5609.0,3374.0,1936.0,2733.0,238.0,A
2022-10-31,1053.0,10532.0,5227.0,5305.0,3366.0,1861.0,2733.0,36.0,A
2022-07-31,1077.0,10484.0,5393.0,5091.0,3491.0,1902.0,2732.0,180.0,A
2022-04-30,1207.0,10455.0,5333.0,5122.0,3520.0,1813.0,2730.0,175.0,A
2022-01-31,1158.0,10327.0,5173.0,5154.0,3589.0,1584.0,2730.0,0.0,A
2021-10-31,1575.0,10705.0,5316.0,5389.0,3608.0,1708.0,2729.0,0.0,A
2021-07-31,1428.0,10491.0,5545.0,4946.0,3821.0,1724.0,2728.0,130.0,A
2021-04-30,1380.0,10398.0,5588.0,4810.0,3830.0,1758.0,2727.0,205.0,A
2021-01-31,1329.0,9674.0,4870.0,4804.0,3183.0,1687.0,2185.0,314.0,A
2020-10-31,1441.0,9627.0,4754.0,4873.0,3287.0,1467.0,2284.0,75.0,A
2020-07-31,1358.0,9546.0,4565.0,4981.0,3251.0,1314.0,2283.0,40.0,A
2020-04-30,1324.0,9455.0,4687.0,4768.0,2742.0,1945.0,1788.0,700.0,A
2020-01-31,1226.0,9501.0,4653.0,4848.0,2761.0,1892.0,1787.0,675.0,A
2019-10-31,1382.0,9452.0,4704.0,4748.0,2624.0,2080.0,1791.0,616.0,A
2019-07-31,1765.0,8625.0,3878.0,4747.0,2256.0,1622.0,1294.0,504.0,A
2019-04-30,2155.0,9022.0,3897.0,5125.0,2779.0,1118.0,1798.0,0.0,A
2019-01-31,2057.0,8952.0,3916.0,5036.0,2821.0,1095.0,1798.0,0.0,A
2018-10-31,2247.0,8541.0,3970.0,4567.0,2799.0,1171.0,1799.0,0.0,A
2018-07-31,2131.0,8349.0,3781.0,4564.0,2767.0,1014.0,1799.0,0.0,A
2018-04-30,3011.0,8784.0,4167.0,4613.0,2802.0,1365.0,1800.0,315.0,A
2018-01-31,2887.0,8698.0,4172.0,4522.0,2811.0,1361.0,1800.0,345.0,A
2017-10-31,2678.0,8426.0,3591.0,4831.0,2328.0,1263.0,1801.0,210.0,A
2017-07-31,2563.0,8261.0,3650.0,4608.0,2409.0,1241.0,1801.0,280.0,A
2017-04-30,2389.0,8016.0,3641.0,4372.0,2454.0,1187.0,1802.0,241.0,A
2017-01-31,2241.0,7872.0,3572.0,4297.0,2483.0,1089.0,1802.0,190.0,A
2016-10-31,2289.0,7794.0,3548.0,4243.0,2603.0,945.0,1904.0,0.0,A
2016-07-31,2199.0,7734.0,3388.0,4343.0,2237.0,1151.0,1652.0,235.0,A
2016-04-30,2139.0,7640.0,3475.0,4162.0,2342.0,1133.0,1654.0,235.0,A
2016-01-31,1931.0,7302.0,3254.0,4045.0,2307.0,947.0,1653.0,80.0,A
2015-10-31,2245.0,7479.0,3309.0,4167.0,2333.0,976.0,1655.0,0.0,A
2015-07-31,2075.0,7251.0,3145.0,4103.0,2292.0,853.0,1655.0,0.0,A
2015-04-30,2197.0,7412.0,3251.0,4158.0,2321.0,930.0,1656.0,0.0,A
2015-01-31,2118.0,7519.0,3279.0,4237.0,2351.0,928.0,1658.0,0.0,A
2014-10-31,2218.0,10815.0,5511.0,5301.0,3819.0,1692.0,1663.0,0.0,A
2014-07-31,2391.0,10380.0,4740.0,5637.0,3161.0,1579.0,2181.0,35.0,A
2014-04-30,2950.0,11026.0,5397.0,5626.0,3678.0,1719.0,2693.0,0.0,A
2014-01-31,2742.0,10638.0,5191.0,5444.0,3642.0,1549.0,2695.0,0.0,A
2013-10-31,2675.0,10686.0,5397.0,5286.0,3795.0,1602.0,2699.0,0.0,A
2013-07-31,2330.0,10278.0,5488.0,4787.0,3938.0,1550.0,2701.0,0.0,A
2013-04-30,2519.0,10587.0,5279.0,5305.0,3371.0,1908.0,2106.0,250.0,A
2013-01-31,2450.0,10653.0,5302.0,5348.0,3456.0,1846.0,2111.0,250.0,A
2012-10-31,2351.0,10536.0,5351.0,5182.0,3458.0,1893.0,2112.0,250.0,A
2012-07-31,1923.0,9757.0,4884.0,4870.0,2794.0,2090.0,1714.0,500.0,A
2012-04-30,3896.0,9413.0,4688.0,4722.0,2853.0,1835.0,1926.0,251.0,A
2012-01-31,3662.0,9099.0,4600.0,4496.0,2895.0,1705.0,1929.0,252.0,A
2011-10-31,3527.0,9057.0,4741.0,4308.0,2904.0,1837.0,1932.0,253.0,A
2011-07-31,3101.0,8753.0,4553.0,4192.0,3048.0,1505.0,2168.0,0.0,A
2011-04-30,2975.0,8649.0,4688.0,3953.0,3096.0,1592.0,2144.0,0.0,A
2011-01-31,2655.0,8044.0,4705.0,3332.0,3299.0,1406.0,2138.0,1.0,A
2010-10-31,4199.0,9696.0,6460.0,3228.0,3377.0,3083.0,2190.0,1501.0,A
2010-07-31,3879.0,9100.0,6290.0,2802.0,3373.0,2917.0,2177.0,1501.0,A
2010-04-30,4220.0,7767.0,5135.0,2624.0,2426.0,2709.0,1393.0,1501.0,A
2010-01-31,4057.0,7574.0,4976.0,2590.0,2427.0,2549.0,1410.0,1501.0,A
2009-10-31,4059.0,7612.0,5098.0,2506.0,3975.0,1123.0,2904.0,1.0,A
2009-07-31,3067.0,6573.0,4084.0,2489.0,3093.0,991.0,2153.0,0.0,A
2009-04-30,2984.0,6576.0,4157.0,2419.0,3058.0,1099.0,2154.0,0.0,A
2009-01-31,2958.0,7162.0,4591.0,2571.0,3461.0,1130.0,2154.0,50.0,A
2008-10-31,3011.0,7007.0,4448.0,2559.0,3118.0,1330.0,2125.0,0.0,A
2008-07-31,3251.0,7541.0,4356.0,3185.0,1462.0,2894.0,604.0,1711.0,A
2008-04-30,3324.0,7674.0,4518.0,3156.0,1474.0,3044.0,622.0,1752.0,A
2008-01-31,3159.0,7459.0,4286.0,3173.0,1612.0,2674.0,626.0,1500.0,A
2007-10-31,3441.0,7554.0,4320.0,3234.0,2657.0,1663.0,2087.0,0.0,A
