Unnamed: 0,Net Cash Flow,Free Cash Flow,Dividends Paid,Accion
2023-01-31,197.0,220.0,-67.0,A
2022-10-31,-17.0,378.0,-62.0,A
2022-07-31,-115.0,244.0,-62.0,A
2022-04-30,72.0,219.0,-63.0,A
2022-01-31,-374.0,180.0,-63.0,A
2021-10-31,55.0,380.0,-59.0,A
2021-07-31,48.0,280.0,-59.0,A
2021-04-30,51.0,441.0,-59.0,A
2021-01-31,-111.0,197.0,-59.0,A
2020-10-31,83.0,350.0,-55.0,A
2020-07-31,35.0,266.0,-56.0,A
2020-04-30,97.0,280.0,-55.0,A
2020-01-31,-156.0,-93.0,-56.0,A
2019-10-31,-383.0,284.0,-51.0,A
2019-07-31,-390.0,195.0,-51.0,A
2019-04-30,97.0,213.0,-52.0,A
2019-01-31,-190.0,174.0,-52.0,A
2018-10-31,115.0,337.0,-47.0,A
2018-07-31,-879.0,164.0,-48.0,A
2018-04-30,122.0,255.0,-48.0,A
2018-01-31,210.0,155.0,-48.0,A
2017-10-31,391.0,230.0,-43.0,A
2017-07-31,0.0,185.0,-42.0,A
2017-04-30,48.0,214.0,-43.0,A
2017-01-31,-48.0,84.0,-42.0,A
2016-10-31,41.0,182.0,-38.0,A
2016-07-31,0.0,170.0,-37.0,A
2016-04-30,0.0,229.0,-37.0,A
2016-01-31,245.0,73.0,-38.0,A
2015-10-31,-1026.0,215.0,-33.0,A
2015-07-31,0.0,89.0,-33.0,A
2015-04-30,0.0,174.0,-33.0,A
2015-01-31,1.0,-52.0,-34.0,A
2014-10-31,352.0,141.0,-44.0,A
2014-07-31,1.0,-24.0,-44.0,A
2014-04-30,0.0,274.0,-44.0,A
2014-01-31,0.0,149.0,-44.0,A
2013-10-31,324.0,345.0,-39.0,A
2013-07-31,-168.0,162.0,-41.0,A
2013-04-30,69.0,265.0,-41.0,A
2013-01-31,99.0,187.0,-35.0,A
2012-10-31,428.0,423.0,-34.0,A
2012-07-31,-1973.0,191.0,-35.0,A
2012-04-30,234.0,316.0,-35.0,A
2012-01-31,135.0,104.0,0.0,A
2011-10-31,-667.0,461.0,0.0,A
2011-07-31,0.0,220.0,0.0,A
2011-04-30,12.0,327.0,0.0,A
2011-01-31,1533.0,82.0,0.0,A
2010-10-31,165.0,339.0,0.0,A
2010-07-31,1.0,63.0,0.0,A
2010-04-30,2.0,197.0,0.0,A
2010-01-31,2.0,5.0,0.0,A
2009-10-31,1060.0,184.0,0.0,A
2009-07-31,4.0,11.0,0.0,A
