Unnamed: 0,Net Income,Shares Outstanding (Basic),Dividend Per Share,EBIT,EBITDA,Revenue,Accion
2023-01-31,352,296,0.225,435,502,1756,A
2022-10-31,368,296,0.21,478,551,1849,A
2022-07-31,329,298,0.21,416,496,1718,A
2022-04-30,274,299,0.21,354,436,1607,A
2022-01-31,283,301,0.21,340,422,1674,A
2021-10-31,442,301,0.194,469,553,1660,A
2021-07-31,264,303,0.194,348,432,1586,A
2021-04-30,216,304,0.194,293,370,1525,A
2021-01-31,288,306,0.194,331,407,1548,A
2020-10-31,222,309,0.18,302,378,1483,A
2020-07-31,199,309,0.18,238,315,1261,A
2020-04-30,101,309,0.18,141,217,1238,A
2020-01-31,197,310,0.18,239,318,1357,A
2019-10-31,194,308,0.164,252,328,1367,A
2019-07-31,191,312,0.164,240,295,1274,A
2019-04-30,182,317,0.164,235,288,1238,A
2019-01-31,504,318,0.164,266,320,1284,A
2018-10-31,195,318,0.149,262,318,1294,A
2018-07-31,236,320,0.149,260,313,1203,A
2018-04-30,205,322,0.149,246,296,1206,A
2018-01-31,-320,323,0.149,253,304,1211,A
2017-10-31,177,322,0.132,246,298,1189,A
2017-07-31,175,321,0.132,212,263,1114,A
2017-04-30,164,321,0.132,211,265,1102,A
2017-01-31,168,322,0.132,213,268,1067,A
2016-10-31,126,326,0.115,170,226,1111,A
2016-07-31,124,325,0.115,151,211,1044,A
2016-04-30,91,326,0.115,135,199,1019,A
2016-01-31,121,329,0.115,160,226,1028,A
2015-10-31,140,330,0.1,159,219,1035,A
2015-07-31,111,332,0.1,143,205,1014,A
2015-04-30,87,334,0.1,108,171,963,A
2015-01-31,63,336,0.1,99,167,1026,A
2014-10-31,68,333,0.132,61,154,1043,A
2014-07-31,147,334,0.132,197,295,1009,A
2014-04-30,139,333,0.132,198,295,988,A
2014-01-31,195,333,0.132,200,296,1008,A
2013-10-31,221,332,0.12,227,322,-1170,A
2013-07-31,168,339,0.12,239,330,1652,A
2013-04-30,166,345,0.12,223,315,1732,A
2013-01-31,179,347,0.1,220,314,1680,A
2012-10-31,425,348,0.1,282,376,1767,A
2012-07-31,243,348,0.1,262,346,1723,A
2012-04-30,255,348,0.1,318,379,1733,A
2012-01-31,230,348,0,282,344,1635,A
2011-10-31,289,347,0,316,379,1728,A
2011-07-31,330,348,0,301,364,1691,A
2011-04-30,200,347,0,280,344,1677,A
2011-01-31,193,347,0,221,284,1519,A
2010-10-31,292,344,0,270,337,1576,A
2010-07-31,205,347,0,251,311,1384,A
2010-04-30,108,348,0,161,197,1271,A
2010-01-31,79,348,0,106,145,1213,A
2009-10-31,25,343,0,100,140,1167,A
2009-07-31,-19,345,0,-20,21,1057,A
2009-04-30,-101,344,0,-35,5,1091,A
2009-01-31,64,351,0,50,91,1166,A
2008-10-31,231,357,0,290,334,1481,A
2008-07-31,169,362,0,246,303,1444,A
2008-04-30,173,363,0,225,276,1456,A
2008-01-31,120,371,0,177,226,1393,A
2007-10-31,180,376,0,224,272,1446,A
2007-07-31,185,392,0,213,263,1374,A
2007-04-30,123,402,0,178,225,1320,A
2007-01-31,150,406,0,146,192,1280,A
2006-10-31,149,410,0,221,263,1328,A
2006-07-31,227,412,0,259,302,1239,A
2006-04-30,115,430,0,156,202,1239,A
2006-01-31,2816,473,0,2831,2870,1167,A
2005-10-31,25,500,0,141,180,953,A
2005-07-31,104,494,0,123,172,1242,A
2005-04-30,95,491,0,114,158,1278,A
2005-01-31,103,491,0,118,166,1212,A
2004-10-31,94,486,0,82,68,-803,A
2004-07-31,100,485,0,133,203,1885,A
2004-04-30,104,481,0,128,203,1831,A
2004-01-31,71,480,0,83,164,1643,A
2003-10-31,13,476,0,67,73,87,A
2003-07-31,-1556,475,0,-202,-111,1502,A
2003-04-30,-146,471,0,-324,-224,1467,A
2003-01-31,-369,471,0,-509,-427,1412,A
2002-10-31,-236,465,0,-375,-188,1736,A
2002-07-31,-228,466,0,-428,-248,1391,A
2002-04-30,-253,464,0,-333,-164,1457,A
2002-01-31,-315,463,0,-421,-222,1426,A
2001-10-31,197,461,0,-57,161,1606,A
2001-07-31,-225,459,0,-301,-90,1819,A
2001-04-30,102,456,0,224,395,2406,A
2001-01-31,100,455,0,237,371,2565,A
2000-10-31,305,452,0,460,599,3017,A
2000-07-31,155,453,0,228,364,2351,A
2000-04-30,166,452,0,238,327,2142,A
2000-01-31,131,439,0,202,298,2246,A
1999-10-31,146,380,0,106,181,947,A
1999-07-28,135,380,0,207,337,2087,A
1999-04-30,157,380,0,242,353,2010,A
1999-01-31,74,380,0,114,238,1786,A
1998-10-31,-51,380,0,-79,66,1987,A
1998-07-28,,,0,,,,A
2023-03-31,10,651.430518,0,557,557,12189,AAL
2022-12-31,803,649.900887,0,1542,3840,13188,AAL
2022-09-30,483,649.845927,0,1157,1157,13462,AAL
2022-06-30,476,649.514848,0,1071,1071,13422,AAL
2022-03-31,-1635,649.503,0,-1623,-1623,8899,AAL
2021-12-31,-932,647.514522,0,-723,1612,9427,AAL
2021-09-30,169,647.457831,0,682,682,8969,AAL
2021-06-30,19,641.383123,0,495,495,7478,AAL
2021-03-31,-1250,634.609,0,-1202,-1202,4008,AAL
2020-12-31,-2178,508.631777,0,-2433,-63,4028,AAL
2020-09-30,-2399,508.561163,0,-2755,-2755,3173,AAL
2020-06-30,-2067,422.894501,0,-2405,-2405,1622,AAL
2020-03-31,-2241,425.713,0.1,-2633,-2633,8515,AAL
2019-12-31,414,438.057971,0.1,836,3154,11313,AAL
2019-09-30,425,445.270728,0.1,841,841,11911,AAL
2019-06-30,662,444.835115,0.1,1157,1157,11960,AAL
2019-03-31,185,449.055548,0.1,516,516,10584,AAL
2018-12-31,324,460.581463,0.1,663,2822,10938,AAL
2018-09-30,372,460.509216,0.1,758,758,11559,AAL
2018-06-30,556,468.152649,0.1,1019,1019,11643,AAL
2018-03-31,159,473.138683,0.1,500,500,10401,AAL
2017-12-31,-583,478.499073,0.1,674,2691,10611,AAL
2017-09-30,661,487.009215,0.1,1329,1329,10965,AAL
2017-06-30,864,492.588818,0.1,1652,1652,11227,AAL
2017-03-31,340,504.154397,0.1,792,792,9820,AAL
2016-12-31,197,518.125156,0.1,606,2424,9751,AAL
2016-09-30,737,529.913365,0.1,1439,1439,10594,AAL
